count,from,to,timeframe,start,end
1,iwandinii,bankbri_id,1,1/11/2021 4:28,1/19/2021 23:07
2,iwandinii,kemenbumn,1,1/11/2021 4:28,1/19/2021 23:07
3,hanurob,kemenbumn,2,1/11/2021 4:45,1/19/2021 23:07
4,hanurob,bankbri_id,2,1/11/2021 4:45,1/19/2021 23:07
5,sakusarsaku,kemenbumn,3,1/11/2021 4:50,1/19/2021 23:07
6,sakusarsaku,bankbri_id,3,1/11/2021 4:50,1/19/2021 23:07
7,kimcipedes,polres_bandung,4,1/11/2021 5:34,1/19/2021 23:07
8,kimcipedes,humaspoldajbr,4,1/11/2021 5:34,1/19/2021 23:07
9,kimcipedes,restabes_bdg,4,1/11/2021 5:34,1/19/2021 23:07
10,kimcipedes,divhumas_polri,4,1/11/2021 5:34,1/19/2021 23:07
11,adinipri,m_newsid,5,1/11/2021 5:57,1/19/2021 23:07
12,djpb_aceh,irwansst,6,1/11/2021 6:54,1/19/2021 23:07
13,robertadhiksp,hariankompas,7,1/11/2021 9:00,1/19/2021 23:07
14,ayielestari89,dinaskukmbabel,8,1/11/2021 17:41,1/19/2021 23:07
15,pedoman_id,pedoman_id,9,1/11/2021 18:57,1/19/2021 23:07
16,pedoman_id,fadjroel,9,1/11/2021 18:57,1/19/2021 23:07
17,pedoman_id,jubirpresidenri,9,1/11/2021 18:57,1/19/2021 23:07
18,pedoman_id,kemenpu,9,1/11/2021 18:57,1/19/2021 23:07
19,pedoman_id,perekonomianri,9,1/11/2021 18:57,1/19/2021 23:07
20,pedoman_id,jokowinomics_id,9,1/11/2021 18:57,1/19/2021 23:07
21,pedoman_id,kemenkeuri,9,1/11/2021 18:57,1/19/2021 23:07
22,demokrasicoid,demokrasicoid,10,1/11/2021 22:01,1/19/2021 23:07
23,koranbumn,perekonomianri,11,1/11/2021 22:24,1/19/2021 23:07
24,koranbumn,kemenkeuri,11,1/11/2021 22:24,1/19/2021 23:07
25,koranbumn,kemenkopukm,11,1/11/2021 22:24,1/19/2021 23:07
26,sunandarps,ratihtwijaya1,12,1/12/2021 0:30,1/19/2021 23:07
27,sunandarps,fadjroel,12,1/12/2021 0:30,1/19/2021 23:07
28,sunandarps,jubirpresidenri,12,1/12/2021 0:30,1/19/2021 23:07
29,sunandarps,kemenpu,12,1/12/2021 0:30,1/19/2021 23:07
30,sunandarps,perekonomianri,12,1/12/2021 0:30,1/19/2021 23:07
31,sunandarps,jokowinomics_id,12,1/12/2021 0:30,1/19/2021 23:07
32,sunandarps,kemenbumn,12,1/12/2021 0:30,1/19/2021 23:07
33,sunandarps,pedoman_id,12,1/12/2021 0:30,1/19/2021 23:07
34,reyesandi56,gisel_la,13,1/12/2021 2:01,1/19/2021 23:07
35,anestimaya,jalinmerapi,13,1/12/2021 2:01,1/19/2021 23:07
36,reyesandi56,tasyakamila,13,1/12/2021 2:01,1/19/2021 23:07
37,anestimaya,tentangsolo,13,1/12/2021 2:01,1/19/2021 23:07
38,reyesandi56,devamahenra,13,1/12/2021 2:01,1/19/2021 23:07
39,anestimaya,info_solo,13,1/12/2021 2:01,1/19/2021 23:07
40,reyesandi56,okaantara,13,1/12/2021 2:01,1/19/2021 23:07
41,anestimaya,suwikipedia,13,1/12/2021 2:01,1/19/2021 23:07
42,auli4zahra,airlangga_hrt,14,1/12/2021 2:10,1/19/2021 23:07
43,auli4zahra,sanjayaluv,14,1/12/2021 2:10,1/19/2021 23:07
44,auli4zahra,adhetora,14,1/12/2021 2:10,1/19/2021 23:07
45,auli4zahra,marshaaruan,14,1/12/2021 2:10,1/19/2021 23:07
46,forumsumbar,info_dpdri,15,1/12/2021 2:30,1/19/2021 23:07
47,forumsumbar,kemendag,15,1/12/2021 2:30,1/19/2021 23:07
48,forumsumbar,koncolanyalla,15,1/12/2021 2:30,1/19/2021 23:07
49,forumsumbar,lanyalla_news,15,1/12/2021 2:30,1/19/2021 23:07
50,forumsumbar,fparlemen,15,1/12/2021 2:30,1/19/2021 23:07
51,forumsumbar,info_senator,15,1/12/2021 2:30,1/19/2021 23:07
52,forumsumbar,kemenpu,15,1/12/2021 2:30,1/19/2021 23:07
53,forumsumbar,lanyallamm1,15,1/12/2021 2:30,1/19/2021 23:07
54,forumsumbar,dpdri,15,1/12/2021 2:30,1/19/2021 23:07
55,forumsumbar,sahabatlanyalla,15,1/12/2021 2:30,1/19/2021 23:07
56,bertahta_dihati,dpdri,16,1/12/2021 3:11,1/19/2021 23:07
57,radiomercury96,radiomercury96,17,1/12/2021 3:24,1/19/2021 23:07
58,lanyalla_news,kemenpu,18,1/12/2021 4:22,1/19/2021 23:07
59,lanyalla_news,lanyallamm1,18,1/12/2021 4:22,1/19/2021 23:07
60,lanyalla_news,dpdri,18,1/12/2021 4:22,1/19/2021 23:07
61,lanyalla_news,sahabatlanyalla,18,1/12/2021 4:22,1/19/2021 23:07
62,lanyalla_news,fparlemen,18,1/12/2021 4:22,1/19/2021 23:07
63,lanyalla_news,kemendag,18,1/12/2021 4:22,1/19/2021 23:07
64,lanyalla_news,koncolanyalla,18,1/12/2021 4:22,1/19/2021 23:07
65,lanyalla_news,forumsumbar,18,1/12/2021 4:22,1/19/2021 23:07
66,lanyalla_news,info_senator,18,1/12/2021 4:22,1/19/2021 23:07
67,spiritsumbar,spiritsumbar,19,1/12/2021 5:37,1/19/2021 23:07
68,namekenotbleng,dpdri,20,1/12/2021 6:00,1/19/2021 23:07
69,namekenotbleng,info_dpdri,20,1/12/2021 6:00,1/19/2021 23:07
